Claim_ID,Image_Name,Damage_Type,Image_Order
CLM000001,0001_jpeg_jpg.rf.KBqmG8M7yK1PtzEXP900.jpg,smash,Front
CLM000001,0001_jpeg_jpg.rf.NnW7iPoCmIxNbocab5LL.jpg,smash,Rear
CLM000001,0007_JPEG.rf.Lg5BPB6Cs6BVEGB85H2y.JPEG,scratch,Left
CLM000001,0009_JPEG.rf.gNmjFUmWNWezg6wktn4B.JPEG,glass_break,Right
CLM000002,0011_JPEG.rf.dn4bkt6mKkspfeFyZcSd.JPEG,scratch,Front
CLM000002,0013_JPEG.rf.h50sWhKPt9x79R2fleSV.JPEG,dent,Rear
CLM000002,0015_JPEG.rf.Tvb42XDIsVyNKAEoUvc8.JPEG,dent,Left
CLM000003,0016_JPEG.rf.0YLGZR5vHHKOpnXtGnBy.JPEG,smash,Front
CLM000003,0017_JPEG.rf.U0TjfBz3swubvqfsyHnj.JPEG,smash,Rear
CLM000003,0018_JPEG.rf.9mgellCpTxLiduunJRdo.JPEG,glass_break,Left
CLM000003,0019_JPEG.rf.NAvqTtnDNdunHVm9wa7J.JPEG,scratch,Right
CLM000004,0021_JPEG.rf.pxcXWXOwsq5Kf5gdgirr.JPEG,smash,Front
CLM000004,0023_JPEG.rf.HfoCB6kvrUAl4Jx1xxRo.JPEG,dent,Rear
CLM000005,0024_JPEG.rf.eyjF32vVkazpG9lvAvkk.JPEG,glass_break,Front
CLM000005,0025_JPEG.rf.pmTqs5slzrSUVV0EAxKZ.JPEG,scratch,Rear
CLM000006,0026_JPEG.rf.gscZWHFzQFYzIdYXwjLI.JPEG,smash,Front
CLM000006,0030_JPEG.rf.j7URHZNfl4eTu8j1MIrg.JPEG,glass_break,Rear
CLM000007,0033_JPEG.rf.qHW2ErI3gwWdMlQzUdc0.JPEG,smash,Front
CLM000007,0035_JPEG.rf.jrKscJFm7jS4EvBccP71.JPEG,glass_break,Rear
CLM000007,0038_JPEG_jpg.rf.mST28VuyDJu9CwpU0fNa.jpg,smash,Left
CLM000007,0038_JPEG_jpg.rf.NJAHly27xugv6GJC57QY.jpg,smash,Right
CLM000008,0038_JPEG_jpg.rf.OZuBnL8bEBz4vUDXk7W2.jpg,smash,Front
CLM000008,0039_JPEG.rf.gcE8C64WQkVWBcsQOzGZ.JPEG,smash,Rear
CLM000009,0040_JPEG.rf.TIctAGsRiEJ525XnOGuJ.JPEG,dent,Front
CLM000009,0040_JPEG_jpg.rf.LUgHEqQAeEjHjad7KgVU.jpg,dent,Rear
CLM000009,0040_JPEG_jpg.rf.XsA91rqPXumikZlBC7D5.jpg,dent,Left
CLM000010,0041_JPEG.rf.qNyiLeRXtvQzTJIicf9D.JPEG,glass_break,Front
CLM000010,0046_JPEG.rf.WYFTTUGOd5TG5Vzgtz53.JPEG,glass_break,Rear
CLM000011,0051_JPEG.rf.JnGXKttPbuJHujMQpn7N.JPEG,dent,Front
CLM000011,0052_JPEG.rf.EkCkliigtMgtnby96Lza.JPEG,smash,Rear
CLM000011,0053_JPEG.rf.Z198j5l3uT99ukxMVEep.JPEG,scratch,Left
CLM000011,0054_JPEG.rf.fSPjasdwuzBNNM5H1iQj.JPEG,smash,Right
CLM000012,0055_JPEG_jpg.rf.hnnN5HwdcDW0F41V5rTs.jpg,smash,Front
CLM000012,0055_JPEG_jpg.rf.Wg881qcI8LMMqoS8gpa1.jpg,smash,Rear
CLM000012,0060_JPEG.rf.hEnlcm47m9szVgIFncK2.JPEG,glass_break,Left
CLM000012,0061_JPEG.rf.MAgCj1FkA6k5zdaWXtMO.JPEG,glass_break,Right
CLM000013,0066_JPEG.rf.N2Z8MCJNjPSHAkJqMMOs.JPEG,smash,Front
CLM000013,0074_JPEG.rf.efOypHEsVZm5NJCSwP6L.JPEG,glass_break,Rear
CLM000014,0078_JPEG.rf.eQlXwzDaDI5DSveu9j5w.JPEG,glass_break,Front
CLM000014,0083_JPEG.rf.u78FIspBYzYJ0yF5Tqjy.JPEG,smash,Rear
CLM000015,0085_JPEG.rf.YhayJmLzNSsi3d9DXnTq.JPEG,glass_break,Front
CLM000015,0088_JPEG.rf.spLbHq7UIRsfDCtUawwd.JPEG,smash,Rear
CLM000016,0093_JPEG.rf.2cHdnIQ01KcaUBRfxriH.JPEG,glass_break,Front
CLM000016,0094_JPEG.rf.gsVnAS0INxKqYCg2pafu.JPEG,smash,Rear
CLM000016,0097_JPEG.rf.4DUrpsRAK3uJ7Cl3zKt5.JPEG,smash,Left
CLM000017,0108_JPEG_jpg.rf.1sazlAJuLtVdLLUZDPJs.jpg,smash,Front
CLM000017,0108_JPEG_jpg.rf.6pcE8SO32aOpMWokc0fZ.jpg,smash,Rear
CLM000018,0108_JPEG_jpg.rf.7gNLa54U7fpaIx4dMsTP.jpg,smash,Front
CLM000018,0111_JPEG.rf.Td3FCjUw9vqEbAVjLsDQ.JPEG,dent,Rear
CLM000018,0113_JPEG.rf.enyHxe64ixV7t0EcZRY9.JPEG,dent,Left
CLM000018,0115_JPEG.rf.vhMqw0CnFLSHnjYHh5RG.JPEG,scratch,Right
CLM000019,0119_JPEG.rf.H5kQ6TBTZrcsT7QdvQno.JPEG,dent,Front
CLM000019,0122_JPEG.rf.BcovQ1EoFcZo5ceOhcDp.JPEG,smash,Rear
CLM000019,0122_JPEG_jpg.rf.DHfUAxjYDRGCzbfkOisV.jpg,smash,Left
CLM000020,0122_JPEG_jpg.rf.enVc82kK1qm1VEi5PRvE.jpg,smash,Front
CLM000020,0124_JPEG.rf.L7x2HnKpWYDxq6rKPLz7.JPEG,dent,Rear
CLM000020,0125_JPEG.rf.lr9befklHYVLl6mMHp1C.JPEG,dent,Left
CLM000020,0126_JPEG.rf.zNojzK1nCsDB8jDj3ZVO.JPEG,dent,Right
CLM000021,0135_JPEG.rf.VEZU9YlJTcpikt8rfoLO.JPEG,smash,Front
CLM000021,0136_JPEG.rf.EpbKZbwmVSXWkuGLeBEy.JPEG,dent,Rear
CLM000021,0140_JPEG.rf.V0f2MufyUWunrLcuphxZ.JPEG,smash,Left
CLM000021,0143_jpeg.rf.0qMv5KbpnBK2qBQLK867.jpeg,dent,Right
CLM000022,0144_JPEG.rf.GCI1xMwBqvDurkBB2utC.JPEG,smash,Front
CLM000022,0146_JPEG.rf.BEWzBnhKrAHUYKyHMWM3.JPEG,dent,Rear
CLM000022,0151_JPEG.rf.SFYLOXAKmPtJ31OYhZk7.JPEG,smash,Left
CLM000023,0154_JPEG.rf.JAS0pslT48K0Eq5GwMIC.JPEG,scratch,Front
CLM000023,0157_jpeg.rf.nhXp4jvOXgfL7X8wiVXE.jpeg,dent,Rear
