Vehicle_ID,Customer_ID,Registration_Number,Make,Model,Manufacture_Year
VEH00001,CUST00001,RJ71GH8387,Hyundai,i20,2019
VEH00002,CUST00002,MH93QO1621,Mahindra,Scorpio,2017
VEH00003,CUST00003,DL28UR5101,Maruti Suzuki,Brezza,2024
VEH00004,CUST00004,DL41CN6810,Hyundai,Venue,2020
VEH00005,CUST00005,GJ71XV2669,Volkswagen,Taigun,2017
VEH00006,CUST00006,AP57BZ6783,Skoda,Slavia,2023
VEH00007,CUST00007,DL32EI9742,Honda,Amaze,2021
VEH00008,CUST00008,TN59UJ7190,Mahindra,XUV300,2019
VEH00009,CUST00009,UP86WJ3340,Skoda,Kushaq,2019
VEH00010,CUST00010,DL39IK8509,Honda,Amaze,2017
VEH00011,CUST00011,AP94HO6121,Kia,Sonet,2017
VEH00012,CUST00012,TS26LB5946,Toyota,Fortuner,2022
VEH00013,CUST00013,MH50WU2314,Skoda,Kushaq,2021
VEH00014,CUST00014,RJ25ZN3828,Kia,Seltos,2019
VEH00015,CUST00015,KL67IL1618,Hyundai,i20,2023
VEH00016,CUST00016,TS24PT7975,Volkswagen,Taigun,2023
VEH00017,CUST00017,TS24VO2727,Volkswagen,Virtus,2019
VEH00018,CUST00018,KA67UR3959,Kia,Carens,2022
VEH00019,CUST00019,TS30BC7983,Hyundai,Venue,2024
VEH00020,CUST00020,UP46FA3022,Skoda,Kushaq,2025
VEH00021,CUST00021,UP63LA2244,Skoda,Slavia,2023
VEH00022,CUST00022,GJ92UW2633,Mahindra,Thar,2017
VEH00023,CUST00023,TN15MW8906,Hyundai,i20,2020
VEH00024,CUST00024,KA27AP4097,Honda,Elevate,2017
VEH00025,CUST00025,KL33FD7193,Maruti Suzuki,Swift,2023
VEH00026,CUST00026,KL25CK9508,Tata,Nexon,2023
VEH00027,CUST00027,TN79XP9740,Hyundai,Creta,2021
VEH00028,CUST00028,KL27IE3164,Hyundai,Creta,2020
VEH00029,CUST00029,MH44UB4041,Toyota,Fortuner,2018
VEH00030,CUST00030,DL92PE5684,Hyundai,Venue,2025
VEH00031,CUST00031,DL73EU4879,Tata,Nexon,2018
VEH00032,CUST00032,KL85UA7372,Kia,Seltos,2017
VEH00033,CUST00033,TS23RZ5095,Maruti Suzuki,Swift,2017
VEH00034,CUST00034,RJ19KX7693,Toyota,Innova,2023
VEH00035,CUST00035,KA64NQ5258,Mahindra,Thar,2025
VEH00036,CUST00036,KA81CI7774,Honda,Elevate,2019
VEH00037,CUST00037,GJ23DI3476,Tata,Harrier,2024
VEH00038,CUST00038,TS93UF2786,Mahindra,Scorpio,2023
VEH00039,CUST00039,KL31YH1249,Hyundai,Creta,2024
VEH00040,CUST00040,UP22FH9400,Maruti Suzuki,Swift,2019
VEH00041,CUST00041,AP16NQ1118,Maruti Suzuki,Brezza,2022
VEH00042,CUST00042,KL87IZ2444,Toyota,Fortuner,2024
VEH00043,CUST00043,AP18HU2311,Tata,Nexon,2017
VEH00044,CUST00044,KA39QG3345,Skoda,Kushaq,2019
VEH00045,CUST00045,TN42LS3743,Mahindra,Thar,2022
VEH00046,CUST00046,DL78SR8202,Volkswagen,Virtus,2020
VEH00047,CUST00047,TS16CB8734,Kia,Sonet,2020
VEH00048,CUST00048,KA55AE7010,Honda,City,2020
VEH00049,CUST00049,DL15XP2457,Toyota,Glanza,2019
VEH00050,CUST00050,MH41KO1917,Honda,Amaze,2024
VEH00051,CUST00051,GJ42KX6296,Mahindra,Thar,2025
VEH00052,CUST00052,RJ87GF5912,Skoda,Kushaq,2025
VEH00053,CUST00053,AP25MF4364,Skoda,Kushaq,2018
VEH00054,CUST00054,GJ56ZV1408,Maruti Suzuki,Swift,2019
VEH00055,CUST00055,TS08EO1207,Hyundai,i20,2021
VEH00056,CUST00056,KA88FK9717,Mahindra,XUV300,2020
VEH00057,CUST00057,DL44WI8563,Skoda,Slavia,2019
VEH00058,CUST00058,MH35CQ6041,Skoda,Slavia,2017
VEH00059,CUST00059,KL82NF7849,Hyundai,Venue,2017
VEH00060,CUST00060,KA67VN5604,Tata,Harrier,2022
VEH00061,CUST00061,MH49IL2237,Honda,City,2020
VEH00062,CUST00062,GJ88HQ1064,Honda,Amaze,2022
VEH00063,CUST00063,DL12GS7947,Hyundai,Venue,2019
VEH00064,CUST00064,UP72AX4736,Volkswagen,Virtus,2025
VEH00065,CUST00065,DL11ZJ1539,Toyota,Fortuner,2024
VEH00066,CUST00066,TS18YW6263,Tata,Nexon,2020
VEH00067,CUST00067,TS05QL4468,Kia,Carens,2023
VEH00068,CUST00068,UP56CO5593,Toyota,Fortuner,2024
VEH00069,CUST00069,KA04SF7908,Maruti Suzuki,Baleno,2018
VEH00070,CUST00070,KA53QD4853,Hyundai,i20,2017
VEH00071,CUST00071,GJ48LA1694,Mahindra,XUV300,2019
VEH00072,CUST00072,DL92QX1421,Volkswagen,Virtus,2018
VEH00073,CUST00073,KL62AA4498,Volkswagen,Virtus,2024
VEH00074,CUST00074,GJ32VM3420,Tata,Harrier,2018
VEH00075,CUST00075,TN18SX6587,Honda,Amaze,2019
VEH00076,CUST00076,AP04ML8572,Skoda,Kushaq,2022
VEH00077,CUST00077,DL26YS6164,Kia,Sonet,2023
VEH00078,CUST00078,TN09EF8000,Mahindra,Scorpio,2023
VEH00079,CUST00079,GJ56QA7402,Volkswagen,Taigun,2024
VEH00080,CUST00080,AP15OA6338,Mahindra,Scorpio,2018
VEH00081,CUST00081,KA29QP5858,Mahindra,Thar,2024
VEH00082,CUST00082,TN63IF9396,Mahindra,Scorpio,2020
VEH00083,CUST00083,KL88HA2887,Toyota,Fortuner,2021
VEH00084,CUST00084,TN66CU9236,Tata,Harrier,2017
VEH00085,CUST00085,UP36PB9363,Honda,Amaze,2019
VEH00086,CUST00086,DL99AK9682,Volkswagen,Virtus,2023
VEH00087,CUST00087,KA99SL4346,Maruti Suzuki,Swift,2025
